Noun (Both M/F Singular --> Add 'S' For Plural),Type
restaurant,L
bureau,L
magasin,L
supermarché,L
musée,L
hôtel,L
collège,L
lycée,L
hôpital,L
théâtre,L
parc,L
jardin,L
piscine,L
zoo,L
stade,L
gare,L
aéroport,L
port,L
banque,L
bibliothèque,L
pharmacie,L
boulangerie,L
épicerie,L
cinéma,L
université,L
café,L
pizzeria,L
boutique,L
table,O
chaise,O
lit,O
canapé,O
armoire,O
étagère,O
télévision,O
ordinateur,O
téléphone,O
réfrigérateur,O
serviette,O
drap,O
couverture,O
oreiller,O
bougie,O
journal,O
magazine,O
carte,O
montre,O
écouteurs,O
chargeur,O
