Infinitive,Translation,Je,Tu,Il/Elle/On,Nous,Vous,Ils/Elles,Future Tense Stems,Imperfect Tense Stems,Passe Compose Stems (Past Participle),Passe Simple Stems
être,to be,suis,es,est,sommes,êtes,sont,ser,ét,été,fu
avoir,to have,ai,as,a,avons,avez,ont,aur,av,eu,eu
aller,to go,vais,vas,va,allons,allez,vont,ir,all,allé,all
venir,to come,viens,viens,vient,venons,venez,viennent,viendr,ven,venu,vin
faire,to do/make,fais,fais,fait,faisons,faites,font,fer,fais,fait,fi
vouloir,to want,veux,veux,veut,voulons,voulez,veulent,voudr,voul,voulu,voulu
pouvoir,to be able to,peux,peux,peut,pouvons,pouvez,peuvent,pourr,pouv,pu,pu
devoir,to have to,dois,dois,doit,devons,devez,doivent,devr,dev,dû,du
prendre,to take,prends,prends,prend,prenons,prenez,prennent,prendr,pren,pris,pri
voir,to see,vois,vois,voit,voyons,voyez,voient,verr,voy,vu,vi
dire,to say,dis,dis,dit,disons,dites,disent,dir,dis,dit,di
mettre,to put,mets,mets,met,mettons,mettez,mettent,mettr,mett,mis,mi
savoir,to know,sais,sais,sait,savons,savez,savent,saur,sav,su,su
courir,to run,cours,cours,court,courons,courez,courent,courr,cour,couru,couru
boire,to drink,bois,bois,boit,buvons,buvez,boivent,boir,buv,bu,bu
entendre,to hear,entends,entends,entend,entendons,entendez,entendent,entendr,entend,entendu,entendu
obtenir,to obtain,obtiens,obtiens,obtient,obtenons,obtenez,obtiennent,obtiendr,obten,obtenu,obtenu
partir,to leave,pars,pars,part,partons,partez,partent,partir,part,parti,parti
devenir,to become,deviens,deviens,devient,devenons,devenez,deviennent,deviendr,deven,devenu,deven
lire,to read,lis,lis,lit,lisons,lisez,lisent,lir,lis,lu,lu
écrire,to write,écris,écris,écrit,écrivons,écrivez,écrivent,écrir,écriv,écrit,écri
dormir,to sleep,dors,dors,dort,dormons,dormez,dorment,dormir,dorm,dormi,dormi
